image_id,farm_id,crop,kind_type,growth_stage,date_captured,leaf,plant_body,temperature,humidity,co2,light,soil_temp,ec,ph,stem_length,leaf_cnt,leaf_width,leaf_length,stem_thick,fruit_weight
415120,AIF005,딸기,금실,정식기,2021-09-03 09:57:49,1,0.0,22.0,79.0,419,173.0,21.1,,,,,,,,
414702,AIF005,딸기,금실,정식기,2021-08-29 11:46:51,1,0.0,33.0,58.0,385,758.0,,,,,,,,,
417657,AIF005,딸기,금실,정식기,2021-08-27 13:46:51,1,0.0,36.0,49.0,367,488.0,32.3,,,,,,,,
414978,AIF005,딸기,금실,정식기,2021-09-03 09:54:25,1,0.0,22.0,79.0,421,161.0,21.0,,,,,,,,
415451,AIF005,딸기,금실,정식기,2021-09-05 11:46:51,1,0.0,27.0,56.0,413,210.0,25.6,,,,,,,,
414623,AIF005,딸기,금실,정식기,2021-08-28 15:46:51,1,0.0,36.0,37.0,377,129.0,32.6,,,,,,,,
415514,AIF005,딸기,금실,정식기,2021-09-06 08:46:51,1,0.0,24.0,71.0,432,153.0,21.2,,,,,,,,
417826,AIF005,딸기,금실,정식기,2021-09-12 14:46:51,1,0.0,33.0,45.0,381,,,,,,,,,,
420066,AIF005,딸기,금실,출뢰기,2021-09-11 13:46:51,1,0.0,35.0,38.0,388,,,,,,,,,,
414539,AIF005,딸기,금실,정식기,2021-08-28 07:46:51,1,0.0,24.0,81.0,454,97.0,23.5,,,,,,,,
415732,AIF005,딸기,금실,정식기,2021-09-08 17:46:51,1,,30.0,52.0,403,,,,,37.5,7.0,9.0,12.6,11.4,
415474,AIF005,딸기,금실,정식기,2021-09-05 14:46:51,1,0.0,24.0,72.0,412,161.0,25.5,,,,,,,,
415024,AIF005,딸기,금실,정식기,2021-09-03 09:55:18,1,0.0,22.0,79.0,420,157.0,21.0,,,,,,,,
418019,AIF005,딸기,금실,출뢰기,2021-09-14 12:46:51,1,0.0,24.0,74.0,414,,,,,,,,,,
414485,AIF005,딸기,금실,정식기,2021-08-27 15:46:51,0,0.0,33.0,54.0,381,177.0,33.5,,,,,,,,
415294,AIF005,딸기,금실,정식기,2021-09-04 09:46:51,1,0.0,28.0,56.0,409,218.0,22.9,,,,,,,,
417641,AIF005,딸기,금실,정식기,2021-08-27 10:46:51,1,0.0,32.0,58.0,418,601.0,26.0,,,,,,,,
417840,AIF005,딸기,금실,출뢰기,2021-09-12 15:46:51,1,0.0,33.0,42.0,384,,,,,,,,,,
415892,AIF005,딸기,금실,출뢰기,2021-09-10 15:46:51,1,0.0,26.0,63.0,428,,,,,,,,,,
415067,AIF005,딸기,금실,정식기,2021-09-03 09:56:09,1,0.0,22.0,79.0,418,161.0,21.0,,,,,,,,
